idrelacionamento_produto,sku,codprod_woo,codprod_lj,estoque,empromo,empresas_idempresas
33110,000102,1499,000102,672,N,1
33146,000142,2442,000142,5,N,1
33187,000187,2347,000187,76,N,1
33226,000227,3530,000227,182,N,1
33229,000230,3721,000230,70,S,1
33512,000530,907,000530,1,N,1
33515,000533,1130,000533,0,N,1
33540,000562,2247,000562,5,N,1
33547,000571,1798,000571,62,N,1
33553,000578,2318,000578,49,N,1
33570,000597,1272,000597,1,N,1
33633,000669,1249,000669,10,N,1
33637,000673,1268,000673,2,N,1
33639,000675,1255,000675,11,N,1
33648,000684,2725,000684,14,N,1
33697,000750,2529,000750,48,N,1
33700,000753,2127,000753,71,S,1
33707,000760,1081,000760,10,N,1
33718,000771,2635,000771,0,N,1
33797,000850,1806,000850,105,N,1
33865,000921,1703,000921,15,N,1
33879,000935,1307,000935,29,N,1
33897,000955,4255,000955,41,S,1
33975,001039,3358,001039,12,N,1
34037,001104,2714,001104,27,N,1
34050,001118,2268,001118,106,N,1
34084,001155,2693,001155,55,N,1
34111,001196,1204,001196,2,N,1
34131,001217,2667,001217,11,N,1
34135,001221,1661,001221,8,N,1
34142,001228,1060,001228,4,S,1
34207,001298,1112,001298,0,N,1
34279,001375,1108,001375,1254,N,1
34352,001459,2622,001459,8,N,1
34403,001514,1877,001514,37,N,1
34478,001592,2412,001592,111,N,1
34484,001598,2361,001598,8,N,1
34517,001631,2076,001631,12,N,1
34532,001648,2386,001648,0,N,1
34534,001650,1714,001650,10,N,1
34613,001734,2358,001734,0,S,1
34636,001758,2218,001758,20,S,1
34659,001785,1860,001785,372,N,1
34704,001835,2512,001835,16,N,1
34823,001964,2042,001964,15,N,1
34829,001970,1707,001970,0,N,1
34839,001980,1367,001980,187,N,1
34973,002127,2459,002127,32,N,1
35082,002242,803,002242,9,S,1
35085,002245,3662,002245,449,N,1
35325,002502,1126,002502,11,S,1
35419,002598,2671,002598,15,S,1
35470,002652,3499,002652,4,N,1
35472,002654,1376,002654,1,N,1
35501,002683,2613,002683,124,N,1
35553,002736,3652,002736,14,N,1
35554,002737,989,002737,106,N,1
35624,002812,3709,002812,13,N,1
35671,002865,2223,002865,5,N,1
35754,002963,1533,002963,20,N,1
35766,002975,1663,002975,20,N,1
35777,002986,1236,002986,-2,S,1
35779,002988,2473,002988,3,N,1
35804,003016,1544,003016,422,N,1
35805,003017,2172,003017,311,N,1
35832,003045,1093,003045,0,S,1
35884,003097,3649,003097,66,S,1
35928,003143,3607,003143,49,N,1
35944,003159,1491,003159,5,N,1
36005,003222,958,003222,1,N,1
36087,003311,1155,003311,4,N,1
36119,003345,2423,003345,33,N,1
36126,003352,2561,003352,51,N,1
36139,003365,2355,003365,21,S,1
36175,003405,4263,003405,108,S,1
36348,003588,2052,003588,21,N,1
36499,003749,1844,003749,25,N,1
36519,003770,2341,003770,1,N,1
36599,003852,3564,003852,127,S,1
36631,003884,3635,003884,15,N,1
36689,003969,3568,003969,102,N,1
36745,004040,3681,004040,7,N,1
36762,004057,2628,004057,0,N,1
36930,004246,2100,004246,26,S,1
36945,004263,1452,004263,1,N,1
37006,004330,2500,004330,0,N,1
37033,004357,3588,004357,2,N,1
37097,004423,3512,004423,414,N,1
37133,004461,1495,004461,12,S,1
37146,004476,2703,004476,4,N,1
37148,004478,4270,004478,25,N,1
37161,004493,1672,004493,5,N,1
37169,004502,2532,004502,165,N,1
37333,004691,3655,004691,78,N,1
37348,004706,1099,004706,168,N,1
37437,004798,1290,004798,11,N,1
37450,004812,1758,004812,6,N,1
37599,004977,1791,004977,1,N,1
37631,005010,1197,005010,0,N,1
37633,005012,996,005012,-1,N,1
37672,005053,2516,005053,6,N,1
37704,005085,811,005085,-1,N,1
37709,005090,2297,005090,50,N,1
37807,005200,1537,005200,156,N,1
37928,005324,992,005324,138,N,1
37968,005366,2121,005366,170,S,1
37999,005401,2015,005401,0,N,1
38057,005461,2463,005461,13,N,1
38159,005575,3727,005575,15,N,1
38192,005609,195,005609,12,N,1
38229,005647,2445,005647,0,N,1
38242,005660,1802,005660,133,S,1
38346,005772,1103,005772,448,S,1
38483,005924,2133,005924,16,N,1
38563,006025,1051,006025,0,N,1
38586,006049,2250,006049,218,S,1
38618,006082,2758,006082,47,N,1
38661,006132,2060,006132,130,N,1
38682,006153,1530,006153,5,N,1
38700,006173,1999,006173,3,S,1
38736,006211,1989,006211,6,N,1
38850,006329,1440,006329,1,N,1
38886,006367,2575,006367,0,N,1
38919,006400,2044,006400,116,S,1
38956,006439,2739,006439,0,N,1
38962,006446,3625,006446,103,S,1
38994,006479,1976,006479,27,N,1
39037,006522,1915,006522,312,N,1
39044,006532,2065,006532,4,N,1
39081,006573,2236,006573,10,N,1
39166,006666,1364,006666,0,N,1
39234,006740,1471,006740,0,N,1
39247,006753,2618,006753,15,N,1
39287,006797,1413,006797,18,N,1
39290,006800,2190,006800,1,S,1
39330,006841,1030,006841,3,N,1
39339,006851,838,006851,3807,S,1
39356,006868,1325,006868,22,N,1
39471,006984,3684,006984,122,S,1
39486,007000,2253,007000,15,N,1
39532,007051,3777,007051,393,N,1
39571,007111,2309,007111,0,N,1
39574,007114,3604,007114,67,N,1
39621,007162,1550,007162,1,N,1
39645,007186,1379,007186,6,N,1
39719,007260,2742,007260,107,N,1
39753,007296,2147,007296,414,N,1
39769,007313,2521,007313,11,N,1
39831,007383,1755,007383,94,NULL,1
39953,007507,2201,007507,382,NULL,1
39959,007513,2272,007513,40,NULL,1
39972,007526,2577,007526,148,NULL,1
40029,007585,2965,007585,894,NULL,1
40034,007591,2571,007591,7,NULL,1
40058,007620,2550,007620,127,NULL,1
40078,007640,2277,007640,31,NULL,1
40156,007721,1475,007721,203,NULL,1
40185,007751,3732,007751,58,NULL,1
40187,007753,3746,007753,12,NULL,1
40200,007767,2430,007767,16,NULL,1
40317,007887,2744,007887,30,NULL,1
40360,007936,1119,007936,170,NULL,1
40438,008020,2206,008020,280,NULL,1
40526,008110,2650,008110,10,NULL,1
40547,008131,1741,008131,45,NULL,1
40616,008201,3718,008201,13,NULL,1
40742,008329,1161,008329,11,NULL,1
41027,008627,2585,008627,28,NULL,1
41090,008693,2168,008693,9,NULL,1
41094,008697,3658,008697,151,NULL,1
41129,008733,3559,008733,60,NULL,1
41247,008860,2083,008860,19,NULL,1
41277,008891,1142,008891,294,NULL,1
41286,008900,1035,008900,5,NULL,1
41314,008930,1721,008930,14,NULL,1
41324,008940,1454,008940,28,NULL,1
41353,008969,1547,008969,28,NULL,1
